gpu num is: 6
model original data nums:10571
add 83 points, now there are 64208 points
add 92 points, now there are 64383 points
add 95 points, now there are 64570 points
add 94 points, now there are 64759 points
add 95 points, now there are 64948 points
add 96 points, now there are 65139 points
add 92 points, now there are 65327 points
add 94 points, now there are 65513 points
add 95 points, now there are 65702 points
train 2900 steps, train loss: 23.265138626098633
add 94 points, now there are 65891 points
add 79 points, now there are 66064 points
add 68 points, now there are 66211 points
add 86 points, now there are 66365 points
add 94 points, now there are 66545 points
add 95 points, now there are 66734 points
add 93 points, now there are 66922 points
add 91 points, now there are 67106 points
add 91 points, now there are 67288 points
add 93 points, now there are 67472 points
add 95 points, now there are 67660 points
train 3000 steps, train loss: 23.18179702758789
add 95 points, now there are 67850 points
add 85 points, now there are 68030 points
add 64 points, now there are 68179 points
add 86 points, now there are 68329 points
add 96 points, now there are 68511 points
add 94 points, now there are 68701 points
add 94 points, now there are 68889 points
add 94 points, now there are 69077 points
add 93 points, now there are 69264 points
add 91 points, now there are 69448 points
add 95 points, now there are 69634 points
train 3100 steps, train loss: 23.09644889831543
add 93 points, now there are 69822 points
add 81 points, now there are 69996 points
add 75 points, now there are 70152 points
add 73 points, now there are 70300 points
add 94 points, now there are 70467 points
add 95 points, now there are 70656 points
add 93 points, now there are 70844 points
add 92 points, now there are 71029 points
add 91 points, now there are 71212 points
add 89 points, now there are 71392 points
add 95 points, now there are 71576 points
train 3200 steps, train loss: 23.006452560424805
add 96 points, now there are 71767 points
add 80 points, now there are 71943 points
add 80 points, now there are 72103 points
add 82 points, now there are 72265 points
add 96 points, now there are 72443 points
add 94 points, now there are 72633 points
add 94 points, now there are 72821 points
add 95 points, now there are 73010 points
add 92 points, now there are 73197 points
add 90 points, now there are 73379 points
add 92 points, now there are 73561 points
train 3300 steps, train loss: 22.91437530517578
add 94 points, now there are 73747 points
add 85 points, now there are 73926 points
add 81 points, now there are 74092 points
add 80 points, now there are 74253 points
add 95 points, now there are 74428 points
add 94 points, now there are 74617 points
add 94 points, now there are 74805 points
add 95 points, now there are 74994 points
add 88 points, now there are 75177 points
add 92 points, now there are 75357 points
add 94 points, now there are 75543 points
train 3400 steps, train loss: 22.821001052856445
add 94 points, now there are 75731 points
add 85 points, now there are 75910 points
add 80 points, now there are 76075 points
add 77 points, now there are 76232 points
add 95 points, now there are 76404 points
add 95 points, now there are 76594 points
add 91 points, now there are 76780 points
add 95 points, now there are 76966 points
add 92 points, now there are 77153 points
add 93 points, now there are 77338 points
add 93 points, now there are 77524 points
train 3500 steps, train loss: 22.725936889648438
add 94 points, now there are 77711 points
add 89 points, now there are 77894 points
add 80 points, now there are 78063 points
add 83 points, now there are 78226 points
add 92 points, now there are 78401 points
add 95 points, now there are 78588 points
add 93 points, now there are 78776 points
add 93 points, now there are 78962 points
add 93 points, now there are 79148 points
add 94 points, now there are 79335 points
add 94 points, now there are 79523 points
train 3600 steps, train loss: 22.626657485961914
add 95 points, now there are 79712 points
add 80 points, now there are 79887 points
add 76 points, now there are 80043 points
add 93 points, now there are 80212 points
add 93 points, now there are 80398 points
add 96 points, now there are 80587 points
add 92 points, now there are 80775 points
add 90 points, now there are 80957 points
add 93 points, now there are 81140 points
add 89 points, now there are 81322 points
add 95 points, now there are 81506 points
train 3700 steps, train loss: 22.523574829101562
add 86 points, now there are 81687 points
add 80 points, now there are 81853 points
add 79 points, now there are 82012 points
add 85 points, now there are 82176 points
add 92 points, now there are 82353 points
add 95 points, now there are 82540 points
add 91 points, now there are 82726 points
add 90 points, now there are 82907 points
add 93 points, now there are 83090 points
add 94 points, now there are 83277 points
add 96 points, now there are 83467 points
train 3800 steps, train loss: 22.418094635009766
add 95 points, now there are 83658 points
add 86 points, now there are 83839 points
add 86 points, now there are 84011 points
add 83 points, now there are 84180 points
add 93 points, now there are 84356 points
add 91 points, now there are 84540 points
add 94 points, now there are 84725 points
add 89 points, now there are 84908 points
add 92 points, now there are 85089 points
add 94 points, now there are 85275 points
add 86 points, now there are 85455 points
train 3900 steps, train loss: 22.307283401489258
add 96 points, now there are 85637 points
add 91 points, now there are 85824 points
add 86 points, now there are 86001 points
add 82 points, now there are 86169 points
add 92 points, now there are 86343 points
add 92 points, now there are 86527 points
add 92 points, now there are 86711 points
add 95 points, now there are 86898 points
add 93 points, now there are 87086 points
add 92 points, now there are 87271 points
add 91 points, now there are 87454 points
train 4000 steps, train loss: 22.192062377929688
add 94 points, now there are 87639 points
add 89 points, now there are 87822 points
add 86 points, now there are 87997 points
add 88 points, now there are 88171 points
add 94 points, now there are 88353 points
add 95 points, now there are 88542 points
add 90 points, now there are 88727 points
add 92 points, now there are 88909 points
add 87 points, now there are 89088 points
add 94 points, now there are 89269 points
add 96 points, now there are 89459 points
train 4100 steps, train loss: 22.073740005493164
add 94 points, now there are 89649 points
add 90 points, now there are 89833 points
add 86 points, now there are 90009 points
add 76 points, now there are 90171 points
add 91 points, now there are 90338 points
add 89 points, now there are 90518 points
add 90 points, now there are 90697 points
add 94 points, now there are 90881 points
add 87 points, now there are 91062 points
add 92 points, now there are 91241 points
add 93 points, now there are 91426 points
train 4200 steps, train loss: 21.953367233276367
add 96 points, now there are 91615 points
add 91 points, now there are 91802 points
add 87 points, now there are 91980 points
add 85 points, now there are 92152 points
add 93 points, now there are 92330 points
add 92 points, now there are 92515 points
add 87 points, now there are 92694 points
add 94 points, now there are 92875 points
add 92 points, now there are 93061 points
add 95 points, now there are 93248 points
add 94 points, now there are 93437 points
train 4300 steps, train loss: 21.830684661865234
add 94 points, now there are 93625 points
add 86 points, now there are 93805 points
add 92 points, now there are 93983 points
add 92 points, now there are 94167 points
add 88 points, now there are 94347 points
add 91 points, now there are 94526 points
add 93 points, now there are 94710 points
add 92 points, now there are 94895 points
add 92 points, now there are 95079 points
add 96 points, now there are 95267 points
add 95 points, now there are 95458 points
train 4400 steps, train loss: 21.7084903717041
add 94 points, now there are 95647 points
add 83 points, now there are 95824 points
add 85 points, now there are 95992 points
add 88 points, now there are 96165 points
add 91 points, now there are 96344 points
add 92 points, now there are 96527 points
add 90 points, now there are 96709 points
add 93 points, now there are 96892 points
add 94 points, now there are 97079 points
add 94 points, now there are 97267 points
add 93 points, now there are 97454 points
train 4500 steps, train loss: 21.58511734008789
add 93 points, now there are 97640 points
add 93 points, now there are 97826 points
add 86 points, now there are 98005 points
add 91 points, now there are 98182 points
add 91 points, now there are 98364 points
add 93 points, now there are 98548 points
add 88 points, now there are 98729 points
add 94 points, now there are 98911 points
add 95 points, now there are 99100 points
add 93 points, now there are 99288 points
add 95 points, now there are 99476 points
train 4600 steps, train loss: 21.465606689453125
add 92 points, now there are 99663 points
add 86 points, now there are 99841 points
add 80 points, now there are 100007 points
add 85 points, now there are 100172 points
add 81 points, now there are 100338 points
add 91 points, now there are 100510 points
add 92 points, now there are 100693 points
add 96 points, now there are 100881 points
add 94 points, now there are 101071 points
add 95 points, now there are 101260 points
add 93 points, now there are 101448 points
train 4700 steps, train loss: 21.350994110107422
add 95 points, now there are 101636 points
add 93 points, now there are 101824 points
add 80 points, now there are 101997 points
add 89 points, now there are 102166 points
add 87 points, now there are 102342 points
add 89 points, now there are 102518 points
add 95 points, now there are 102702 points
add 93 points, now there are 102890 points
add 91 points, now there are 103074 points
add 91 points, now there are 103256 points
add 95 points, now there are 103442 points
train 4800 steps, train loss: 21.240638732910156
add 94 points, now there are 103631 points
add 89 points, now there are 103814 points
add 77 points, now there are 103980 points
add 88 points, now there are 104145 points
add 85 points, now there are 104318 points
add 88 points, now there are 104491 points
add 88 points, now there are 104667 points
add 91 points, now there are 104846 points
add 88 points, now there are 105025 points
add 94 points, now there are 105207 points
add 93 points, now there are 105394 points
train 4900 steps, train loss: 21.13407325744629
add 89 points, now there are 105576 points
add 84 points, now there are 105749 points
add 80 points, now there are 105913 points
add 88 points, now there are 106081 points
add 85 points, now there are 106254 points
add 94 points, now there are 106433 points
add 93 points, now there are 106620 points
add 91 points, now there are 106804 points
add 93 points, now there are 106988 points
add 95 points, now there are 107176 points
add 93 points, now there are 107364 points
train 5000 steps, train loss: 21.027618408203125
add 87 points, now there are 107544 points
add 85 points, now there are 107716 points
add 83 points, now there are 107884 points
add 93 points, now there are 108060 points
add 87 points, now there are 108240 points
add 88 points, now there are 108415 points
add 95 points, now there are 108598 points
add 91 points, now there are 108784 points
add 95 points, now there are 108970 points
add 94 points, now there are 109159 points
add 92 points, now there are 109345 points
train 5100 steps, train loss: 20.92179298400879
add 92 points, now there are 109529 points
add 84 points, now there are 109705 points
